date,value,memo
2024-01-01,177278,홍대입구역_2호선
2024-01-02,149571,서울역_1호선
2024-01-03,126683,구로디지털단지역_2호선
2024-01-04,185480,홍대입구역_2호선
2024-01-05,153734,삼성역_2호선
2024-01-06,176850,강남역_2호선
2024-01-07,160994,홍대입구역_2호선
2024-01-08,150754,구로디지털단지역_2호선
2024-01-09,127905,삼성역_2호선
2024-01-10,80636,이태원역_6호선
2024-01-11,95110,이태원역_6호선
2024-01-12,147153,구로디지털단지역_2호선
2024-01-13,114030,삼성역_2호선
2024-01-14,194104,강남역_2호선
2024-01-15,180662,잠실역_2호선
2024-01-16,144020,서울역_1호선
2024-01-17,139871,구로디지털단지역_2호선
2024-01-18,186642,홍대입구역_2호선
2024-01-19,164806,잠실역_2호선
2024-01-20,93978,종로3가역_1호선
2024-01-21,113268,삼성역_2호선
2024-01-22,286982,강남역_2호선
2024-01-23,75937,이태원역_6호선
2024-01-24,163762,잠실역_2호선
2024-01-25,86994,이태원역_6호선
2024-01-26,150220,삼성역_2호선
2024-01-27,108634,삼성역_2호선
2024-01-28,138824,홍대입구역_2호선
2024-01-29,137011,구로디지털단지역_2호선
2024-01-30,205342,홍대입구역_2호선
2024-01-31,224681,홍대입구역_2호선
2024-02-01,172435,서울역_1호선
2024-02-02,111185,종로3가역_1호선
2024-02-03,99716,종로3가역_1호선
2024-02-04,139478,구로디지털단지역_2호선
2024-02-05,188809,서울역_1호선
2024-02-06,208515,홍대입구역_2호선
2024-02-07,88499,이태원역_6호선
2024-02-08,191283,신림역_2호선
2024-02-09,186759,잠실역_2호선
2024-02-10,68786,이태원역_6호선
2024-02-11,80204,종로3가역_1호선
2024-02-12,127966,구로디지털단지역_2호선
2024-02-13,126996,종로3가역_1호선
2024-02-14,147361,서울역_1호선
2024-02-15,163094,구로디지털단지역_2호선
2024-02-16,114690,종로3가역_1호선
2024-02-17,116649,신촌역_2호선
2024-02-18,100099,신촌역_2호선
2024-02-19,152291,서울역_1호선
2024-02-20,174850,구로디지털단지역_2호선
2024-02-21,107950,이태원역_6호선
2024-02-22,192166,서울역_1호선
2024-02-23,163238,삼성역_2호선
2024-02-24,129121,삼성역_2호선
2024-02-25,91096,종로3가역_1호선
2024-02-26,194849,신림역_2호선
2024-02-27,125050,신촌역_2호선
2024-02-28,256595,강남역_2호선
2024-02-29,202655,신림역_2호선
2024-03-01,213470,신림역_2호선
2024-03-02,168422,잠실역_2호선
2024-03-03,192926,홍대입구역_2호선
2024-03-04,208778,잠실역_2호선
2024-03-05,153903,신촌역_2호선
2024-03-06,179769,서울역_1호선
2024-03-07,257545,강남역_2호선
2024-03-08,90312,이태원역_6호선
2024-03-09,84204,종로3가역_1호선
2024-03-10,137777,서울역_1호선
2024-03-11,191556,신림역_2호선
2024-03-12,277245,강남역_2호선
2024-03-13,84595,이태원역_6호선
2024-03-14,79873,이태원역_6호선
2024-03-15,198882,서울역_1호선
2024-03-16,67774,이태원역_6호선
2024-03-17,148086,신림역_2호선
2024-03-18,197352,신림역_2호선
2024-03-19,72998,이태원역_6호선
2024-03-20,156974,삼성역_2호선
2024-03-21,120810,신촌역_2호선
2024-03-22,235017,홍대입구역_2호선
2024-03-23,125219,서울역_1호선
2024-03-24,218117,강남역_2호선
2024-03-25,141002,삼성역_2호선
2024-03-26,251260,홍대입구역_2호선
2024-03-27,257413,홍대입구역_2호선
2024-03-28,170678,신림역_2호선
2024-03-29,155718,신촌역_2호선
2024-03-30,141223,신림역_2호선
2024-03-31,82617,이태원역_6호선
2024-04-01,162212,구로디지털단지역_2호선
2024-04-02,173613,구로디지털단지역_2호선
2024-04-03,170313,서울역_1호선
2024-04-04,130256,종로3가역_1호선
2024-04-05,102759,이태원역_6호선
2024-04-06,175807,홍대입구역_2호선
2024-04-07,100790,구로디지털단지역_2호선
2024-04-08,102988,종로3가역_1호선
2024-04-09,172470,삼성역_2호선
2024-04-10,165618,구로디지털단지역_2호선
2024-04-11,127546,구로디지털단지역_2호선
2024-04-12,195789,홍대입구역_2호선
2024-04-13,101110,구로디지털단지역_2호선
2024-04-14,230500,강남역_2호선
2024-04-15,255555,홍대입구역_2호선
2024-04-16,145428,구로디지털단지역_2호선
2024-04-17,134092,신촌역_2호선
2024-04-18,82002,이태원역_6호선
2024-04-19,174151,삼성역_2호선
2024-04-20,107612,신촌역_2호선
2024-04-21,118380,신촌역_2호선
2024-04-22,133482,구로디지털단지역_2호선
